uuid,사업자명,리뷰본문,키워드
0a70d813-3c3e-4fa1-902e-9a5188f65380,콜트레인,"노래도 너무 좋구 분위기가 너무 좋아요..
사장님 넘 잘생기셨어요!!! 자주 오려구용 ㅎㅎ","인테리어가 멋져요, 음악이 좋아요, 대화하기 좋아요, 사진이 잘 나와요, 친절해요"
5568a46d-e69b-41df-9be7-7103665dafcb,콜트레인,"추워진 날씨에 다가오는 연말! 크리스마스트리장식과 재즈라니!
꼬냑에 입문중인데 헤네시가 마침 있어서
향긋하게 잘 마셨습니당!
LP를 직접 선정해서 턴테이블로 듣는 감성이 좋아요:) 재즈아티스트들에게서 영감받은 
시그니처 칵테일들도 신기합니당~ 다음에 도전해봐야겠어요!!","인테리어가 멋져요, 음악이 좋아요, 매장이 넓어요"
46d3600c-78ca-45e1-b83a-6cb68bb34979,콜트레인,멋진 빈티지 JBL 스피커에서 좋은 재즈음악이 계속해서 흘러나오는 근사한 곳입니다. 분위기도 좋고 칵테일과 와인등 선택지가 다양해요. 데이트도 좋고 친구들과 가도 좋은 곳입니다. 사장님과 일하시는 분들도 모두 정말 친절하세요!,"음악이 좋아요, 대화하기 좋아요, 아늑해요, 친절해요, 술이 다양해요"
950e7f40-4564-4325-a173-f23c69edc500,콜트레인,"을지로쪽 LP바 검색하다가 우연히 발견한 곳인데
너무 좋네요, 분위기도 좋고 사장님이 양주에 진심인 거 같구 LP에도 진심인 거 같아서 맘에 듭니당
담에 또 갈거에요>_<","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요"
18d4370c-3c25-4ed6-afaf-597128f42182,콜트레인,"우연히 들어갔는데 생각 이상으로 좋아서 만족했습니다. 사장님이 인테리어 직접 하셨는데 감도가 정말 좋고, 노래도 좋고 술과 안주도 맛있어요. 친구, 연인, 동료 누구와 와도 괜찮은 정갈하고 좋은 분위기의 바로 추천합니다. 가격대도 합리적이어서 여러 잔 시키기도 좋습니다. 퇴근하고 매일 오고 싶네요..","인테리어가 멋져요, 음악이 좋아요, 매장이 넓어요, 음식이 맛있어요, 가성비가 좋아요"
bab9cd82-f8be-4739-8d8d-771487e41d3d,콜트레인,"바 분위기가 너무 좋아서 자주오고싶어요 🥹🥹 사장님도 너무 친절하시고 직원분들도 잘생기셨네요 (ㅎㅎ !!!!)
평일 저녁에 왔는데 사람 많더라구요 다행이 딱 자리 나서 앉았습니다 럭키~~  
틀어주시는 음악도 너무 좋아서 가만히 앉아서 음악 감상만 해도 마음 편해져요 ……. 너무조아요……. 진짜루 ..,,……… 꼭와보세여,,","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 사진이 잘 나와요, 친절해요"
48265863-53e3-4659-a85f-444537068008,콜트레인,"진짜 미친듯한 칵테일 맛을 느끼고 왔습니다 
존콜트레인 칵테일 모르는 사람 없길….🙌🏻
음악이며 분위기며 그냥 미쳤습니다
종로에서 이런 갬성 느낄 수 있다는게 신기했어요 
단골 예약입니다
음식이 멋있고 사장님이 맛있어요 최고~!","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 친절해요"
0f8a2278-4463-4f88-ba16-31f7a57615b6,콜트레인,"재즈음악 가득한 분위기있는 칵테일바입니다ㅎㅎ 원하는 재즈 엘피 있음 가져가도 되구, 무엇보다도 멋져서 또 가고싶어요!","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 친절해요, 매장이 청결해요"
af5087ed-ddde-4a55-a625-8a242de6230d,콜트레인,"John coltrane 존 콜트레인이 바로 떠올랐던 재즈바
LP바? 
블루노트 lp들을 대표하는 저 파란색계열의 간판아래 통로로 들어가면 새로운 세계가 열린다. 
세련된 흰색계열 계단 통로를 오르다 뒤를 돌아보니 문밖의 세상이 블루노트 색인 듯해 흠칫 놀랐다. 
사장님이 저런색이 보여지도록 특수효과 장치를 설치한 것일까? 아무튼 입장전부터 깜짝 놀랐다. 
유명 재즈 뮤지션들의 포스터들을 지나 블라인드 안쪽으로 살짝 보이는 풍경이 나를 또 한번 이끈다. 

자리에 앉아 메뉴판을 정독하고 니그로니 칵테일과 버번 하이볼을 한잔 시켰다. 안주는 곶감 치즈말이로 함께 주문 완료. 
멋드러진 온더락잔에 빨간색 칵테일이 너무 멋스럽다. 하이볼은 약간 달달하다. 하지만 다른 매장들보단 달지 않아 매우 만족스러웠다.","음식이 맛있어요, 술이 다양해요, 가성비가 좋아요, 인테리어가 멋져요, 음악이 좋아요"
ed239b69-abfe-43ed-9d90-bc2382a7a0cf,콜트레인,"재즈 음악이 넘 좋네요~ 간만에 귀가 제대로 호강했습니다!!
사장님의 선곡도 좋고, 분위기도 넘 좋아요!
사장님이랑 바텐더 분도 넘 친절하시고, 혼술하러 갔는데 말동무 해주셔서 감사해요!
그리고 칵테일은 개인적으로 노라 존스🍹추천이예요!!! ^^ 여성분들이 좋아할 칵테일 입니다~~!
다음에 서울에 갈 때 또 방문할게요!! 🥰","술이 다양해요, 인테리어가 멋져요, 음악이 좋아요, 혼술하기 좋아요, 친절해요"
