uuid,사업자명,리뷰본문,키워드
75bd7da1-2f10-4933-9a47-d0a2deb28f76,탄탄면공방 명동점,"탄탄면공방 넘 오랜만에 오는데 국밥메뉴가 원래 있었나요?
원래 밥파인데 탄탄면에 밥이라니 넘 좋아요
면도 먹고 셀프바에 밥도 있어서 면먹고 밥드셔도 좋을것 같아요!!

저는 1인분이면 충분해서 바로 밥으로 주문!
오랜만에 먹었는데두 넘나 맛있어요

키오스크로 주문하고 직원분 안내에 따라 1층 혹은 2층 올라가시면돼요!!
2층은 못올라갔지만 1층 혼밥석에 앉아 맛있게 먹었습니다

11시 40분~12시쯤은 사람들이 몰려있는데
12시 10분넘어서는 슬슬 자리 빠져서 바로 들어갈수 있더라구요
자리 착석같이 10분걸렸는데 거의 앉자마자 음식나와서
바로 먹었어요
국물도 너무 맛있고 나중에 매운 사천으로 먹어볼까봐요
은근 비빔탄면도 인기메뉴여서 이것도 먹어보구싶어요!!","음식이 맛있어요, 혼밥하기 좋아요, 차분한 분위기에요, 친절해요, 매장이 청결해요"
9cb6c0ae-9718-4f0f-b748-724e096226c6,탄탄면공방 명동점,진짜 너무 맛있어요 ㅠㅠ 간만에 먹은 탄탄멘 진짜 모든게 만족스럽네요 다 먹고 밥 안먹으려고 햇는데 밥까지 말아서 완탄 햇어요 ! 쿨타임 차면 또 먹으러 갈게요!,"음식이 맛있어요, 양이 많아요"
b829542a-bd7a-4e22-928a-7e7ebc75c17b,탄탄면공방 명동점,"너무 맛있고 양도 많아서 진짜 짱
밥도 무료로 먹을 수 있어서 너무 좋았습니다","음식이 맛있어요, 양이 많아요, 혼밥하기 좋아요"
2d08f02c-92b5-4f4b-9a61-62a475284191,탄탄면공방 명동점,"국물도, 면도 고명도 다 적당하고 맛있어요","음식이 맛있어요, 현지 맛에 가까워요, 가성비가 좋아요, 혼밥하기 좋아요"
8bc33a02-3a42-41b1-8792-806e08989122,탄탄면공방 명동점,"너무너무 맛있다...
다음에도 오고 싶어요.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요"
ae31b7b6-d27e-46db-b0f0-808f3159f02a,탄탄면공방 명동점,맛있어용 비빔탄탄 신선한 맛입니다~!,"음식이 맛있어요, 매장이 넓어요, 혼밥하기 좋아요, 친절해요, 매장이 청결해요"
0a1578d1-76d4-4639-9497-cd3932bc96b3,탄탄면공방 명동점,국물이 얼큰하니 맛있어요~,음식이 맛있어요
68240b7d-d2ee-4d6c-b7a6-33c04c900277,탄탄면공방 명동점,점심에 먹기 좋아요,"혼밥하기 좋아요, 음식이 맛있어요"
bc6c151e-6c56-45d7-abf7-98c32aaa9312,탄탄면공방 명동점,"나혼자탄탄면 계란밥셋트, 사천탄탄면으로 변경, 파채추가, 차슈추가, 매운소스추가.
아아아아아주 맛있게 맵고 칼칼하니 좋았고, 추운날씨에 완벽한 국물이었어요!
맵기는 불닭보다 덜매움!","음식이 맛있어요, 혼밥하기 좋아요, 친절해요"
37f72490-d153-4b27-99b0-2a36e768be3d,탄탄면공방 명동점,양도 충분하고 기본 탄탄 맛있어요! 안느끼합니다,"음식이 맛있어요, 재료가 신선해요"
e85c89bc-a10e-4586-b5fd-e2ab6a1e61f2,탄탄면공방 명동점,2인세트 국밥으로 변경해서 먹었는데 맛있게 먹었습니다.,"음식이 맛있어요, 양이 많아요"
aaa1dfbd-f16b-478f-8212-ab67b876e8bc,탄탄면공방 명동점,차슈는 별로였던거같아요 마늘 많이 넣고 먹으면 맛있어요 담에 방문한다고 차슈는 추가 안할 것 같습니다,혼밥하기 좋아요
e9f78299-e31a-43fe-aa24-89c6442b8bd7,탄탄면공방 명동점,"고소하고 담백한 탄탄면🫢
주기적으로 찾아가는 명동 맛집!
오리지널 탄탄면 자체가 고소하고 묵직한 맛이랍니다.","음식이 맛있어요, 메뉴 구성이 알차요"
d77b26bc-4b68-43dd-adb9-b9e2ed39023c,탄탄면공방 명동점,"탄탄면 공방~맛집이에요~
매장이 조금 비좁아 점심시간때는 좀 대기해야해요~~","음식이 맛있어요, 재료가 신선해요, 혼밥하기 좋아요"
7bd42b69-5a6d-4c6d-9032-1162a4c1aab4,탄탄면공방 명동점,"회사로 복귀한 (전)팀 동료의 복귀 축하(?)점심을 달렸습니다!

오란만에 방문한 탄탄면공방의,
편안하고 검증된 맛 덕분에 동요와의 오붓한 시간은 행복 그 자체였다는건 안비밀🤫

오늘도 잘 먹고 갑니다!🍽️","음식이 맛있어요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요, 매장이 청결해요"
486dc399-68a7-403b-a8ae-30825e0a3d7b,탄탄면공방 명동점,"탄탄면이 집집이 맛이 다 다르지만 이 곳은 딱 국물이 한국화된 맛으로 정말 맛있어요.
튀긴 만두는 정말 고기가 꽉 차있는 맛이네요.
조금 먹다가 간마늘 추가해서 먹으면 더욱 깊고 감칠맛나게 먹을 수 있어 좋아요.","음식이 맛있어요, 양이 많아요"
9d4d3b57-b58a-4928-9767-c67fccb4b44e,탄탄면공방 명동점,아.. 탄탄면 둘과 닭튀김 하나를 주문하려고 키오스크2를 눌럿다가 닭튀김 둘을 주문해버렸다.. 사정을 얘기하니 직원분이 카드를 받아가셔서 친절히 재결제 해주셨다. 최근에 체인점이 꽤 줄어든 모양새지만. 명동점은 인근 직장인들의 점심장소로 자리 잡은 듯하다. 꽤 더운 점심에도 직장인들로 만석이다 ,음식이 맛있어요
749284de-d09f-4209-bd9a-8641fbf9150b,탄탄면공방 명동점,새콤비빔은 기대치가 높았던 탓인지 상대적으로 별로였네요..,음식이 맛있어요
d07ae965-9882-4300-9eb0-aadc43b719a7,탄탄면공방 명동점,냉탄탄면은 시원한 맛이 좋았고 간장계란밥은 살짝 아쉬웠네요,음식이 맛있어요
ede49e16-4370-473a-abc6-8c3838eec654,신당 조갯집,"일단 조개찜도 먹고 구이도 먹고 생석화랑 칼국수 다먹어봤는데 바로바로 손질해서 주니까 싱싱하고 너무 맛있더라구요!
기본안주로 나온 오뎅홍합탕 조차도 맛있어서 소주각이고 조개찜 육수도 따로 넘맛있어요 종종 조개생각날때마다 가려구요","친절해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
86efcea9-907d-4047-ab69-2b64eb5fd162,신당 조갯집,"양많고 신선하고 맛있는 조개구이~~
친철하셔서 더 기분 좋게 먹었다~
오픈때부터 궁금했는데 항상 사람 많아서 못가다가
일찍 갔더니 바로 앉을 수 있었다.
조개찜이나 다른 메뉴들도 궁금~~
힙당동에 조개구이까지~~ 완벽하네 ㅎㅎ","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요"
b03ac8bf-2414-4d0a-b8dd-08aeacf145b5,신당 조갯집,"동네에 조개구이,찜 가게가 오픈해서
남편과 구이를 먹으러 가봤습니다
깔끔하고 신선하고 오랜만에 먹는 조개구이 너무 
맛있었네요 ^__^일단 서비스의 기본인 친절은👍
웃으시면서 서빙 해주시는데 너무 좋았고 
특히 마지막에 계산하고 나갈때
맛있게 드셨나요~  이말도 좋았습니다 
사장님 처음 장사하시는거 아니죠?  장사달인느낌 ㅋㅋ
동네에 조갯집 생겨서 너무 좋다능♡","음식이 맛있어요, 재료가 신선해요, 아늑해요, 매장이 청결해요, 아이와 가기 좋아요"
20cbf54b-9d8f-4cf1-ae4a-9694e38ac268,신당 조갯집,"주말은 손님이 많다고 하여 토요일 5시쯤 방문했는데 얼마 지나지 않아 손님들로 꽉 찼습니다. 
무엇보다 조개가 너무 신선하고 통통했어요~
반찬, 소스도 하나하나 센스있고 맛있더라구요
낙지 탕탕이는 가성비 너무 좋았구 사진은 못찍었지만 문어초무침이 정말 맛있었어요~ 사장님께서 당일 아침에
공수해오신 문어라고 설명해 주셔서 더 맛있었네요😀
사장님께서 너무 친절하셔서 더 기분 좋았던 주말 저녁이었어요:)","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요, 친절해요, 매장이 청결해요"
465b41ae-6972-49df-ad9c-3d59a5c9a8fa,신당 조갯집,"늘 오며가며 냄새만 맡다가 웨이팅 피해서 오픈하자마자 방문했습니다.

'우와'라는 감탄사는 이럴 때 쓰라고 만들어졌나봐요:)
조개찜에 진심을 담아주셨더라고요-

칼국수에 나오는 김치도 베리베리굿굿!!
여쭤보니 직접 담그신대요:)
밑반찬 하나하나까지 정성스러움에 감동도 한사발 먹고 갑니다^^

먹기에 바쁜 저희는  맛보기로 주신 생석화와 칼국수 사진까지 모두 날려보내고 메인인 조개찜만 남겨요:)

맛과 친절함, 그리고 분위기까지!!! 엄지척척!!
영원한 단골 약속드려요!!!!","음식이 맛있어요, 재료가 신선해요, 단체모임 하기 좋아요, 친절해요, 매장이 청결해요"
27a17ae6-10d8-4821-8ba7-727b318db34f,신당 조갯집,"단체모임있어서 다시 찾은 신당조갯집
일찍 서둘러가서 대기없이 입장가능했어요^^ 
단체인만큼 주문도 구이 찜 석화까지..전 메뉴를 다 시키고싶었지만 꾹꾹참았지요~ 
일단 조개구이외에 가리비구이는 말해뭐해에요~ 
알도 통통하고 구수함에 치즈까지 꾸욱 찍어먹으니
어쩜 이렇게 맛있게요~~ @_@ 사장님, 직원 모두 친절해서 더 맛나고 즐건 시간이었답니다^^","음식이 맛있어요, 재료가 신선해요, 단체모임 하기 좋아요, 친절해요, 매장이 청결해요"
547387c2-e0eb-481b-8e3c-ce1d4ad3c8cd,신당 조갯집,"신당동애 이런곳이 생기다니… 진ㅋ자 너무ㅜ좋아여.. 벌싸 두번째 방문인대 석화 까다가 긁혀서 피나니까 연고와 밴드까지 챙겨주시고👍완전 감동 ㅠㅠㅠ
일단 석화 알도 큼직하도 너무 맛있고 양도 미쳐버릴 정도로 많아요! 청량리 왕십리 갈까ㅜ하다가 여기로 왔는데ㅜ정말 후회 없습니다 ㅋㅋㅋㅋㅋ 청량리 조개 맛집이 있는데 가족분이 하신다거 하더라구요 ! 조금씩 웨이팅이 생겨서 속상하지먼 대박나셔ㅛ으면 좋겟어오!!!","친절해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요"
8527d3dc-db4d-47c8-b9d2-a4f990ad680c,신당 조갯집,"엄청 실하고 맛있어요!
사장님도 친절하시고,조개찜이랑 구이도 맛있고 라면이랑 칼국수도 맛있어요!!!
양도 엄청 많음👍🏻","재료가 신선해요, 친절해요"
efce093c-9a34-405a-beaa-cb5508d4a1dd,신당 조갯집,"어디갈까 하다가 여기만 사람이 바글바글해서 들어왔는데 먹다보니 이유를 알겠어요 조개찜만 먹으려고 왔다가 석화까지 똬아 눈뒤집고먹었어요 소짜 시켰는데도 양도 많고 사진은 못찍었지만 칼국수에 먹는 김치도 대박!!!!!!!! 생각없이 들어왔다가 맛집찾음 친절함은 덤, 사장님 잘먹고갑니다!!!!!!!!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 메뉴 구성이 알차요"
4befa81e-2aaf-4c2c-b875-8dce15d59ed8,신당 조갯집,너무너무 맛있는데 친절하시기까지 … 진짜 너무 신선하구 양도 진짜 많아요 🫶🏻 진짜 맛있으니까 강추 꼭 오세요,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 단체모임 하기 좋아요"
fe5cf4c6-9ca2-44da-864c-45881d741402,신당 조갯집,"진짜 개존맛탱 미첬음요 
조개구이 너무 먹구 싶었는데 서울에서 이가격에 이 퀄리티로 먹을 수 있다니 너무너무 대만족입니다!!!
오늘은 조개구이먹었는데 담에는 찜먹어보려구요!!
사장님 너무 친절하시고 양도 너무 많구 맛있어서 기분좋게 먹었습니다! 자주 방문할게요!","재료가 신선해요, 양이 많아요, 친절해요"
011a549e-fb1b-49c1-adad-ea6b0a533ed0,신당 조갯집,"신당역 인근에 새로 생긴 신당조갯집..
두명 와서 조개찜 하나랑 막회무침 시켰는데 너무 맛있었어요. 양도 푸짐하고 조개들 아주 신선해요. 그리고 사장님분은 친철하게 설명해주시고 가실때 사탕까지 주셔서 완벽한 식사하고 갑니다.
다음에는 구이와 다른 메뉴들 도전하러 가겠습니다.","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요, 혼밥하기 좋아요, 뷰가 좋아요"
b4e67242-91b7-44af-b413-829e4b21788a,신당 조갯집,"조개 구이 퀄리티 장난 아닙니다!!!!
소짜 시켰는데 양이 짱 많았고요!! 낙지 탕탕이도 존맛
사장님 너무 친절하시고 잘 챙겨주십니다!!
특히 조개가 너무 싱싱해서 먹으면서도 계속 감탄했어요 ㅠㅠㅠ 재방문 의사 완전히 있습니댜!!!!! 사장님 들숨에 재력 날숨에 건강 얻으시고 오래오래 장사해주세요🔥🔥🔥","재료가 신선해요, 양이 많아요, 메뉴 구성이 알차요, 친절해요, 매장이 청결해요"
4332b8ad-2ea0-433f-96d4-4e0df56cfe7e,신당 조갯집,"재료가 너무 신선하고 양도 많고 맛있어요 ! 
조개구이를 좋아하지 않는데도 불구하고 너무 맛잇게 잘먹었습니드 
또 방문할 의사가 너무나 많지만 앞으로 줄서게 될꺼같아서 ㅜㅜ 
그래도 꼭 방문 할려고 합니다 
사장님들이 너무 친절하시고 서빙해주시는 이모도 너무너무 친절하셔서 기분좋고 맛있게 먹고왔습니다","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 매장이 청결해요"
c023e404-e093-44dd-b7a1-1c3fa60f19fe,신당 조갯집,"정말 이곳  바다를 옮겨다 준ㄷㅅ해요
신선함은 두말필요없고요 양도 엄청납니다
멋진 사장님의  생석화서비스는 꿀처럼 맛납니다~
친절함과 신선함 정성들인 음식들 맛나게 먹었습니다  번창하세요~","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 매장이 청결해요"
54f4da27-e968-40de-9235-fc3f54f88a80,신당 조갯집,"신당동에 보물같은집이 생겼다.
사장님도 너무너무친절하고
조개신선도최고!!!! 오늘도잘먹고갑니다!!","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요"
9f796b2a-4538-486d-bf6a-11ea780a5cf3,신당 조갯집,"최애로 떠오른 식당중 하나입니다!
2주만에 또 방문했고 조개구이도 맛있지만 석화가 작살입니다 ㅠㅠ 석화만 먹으러도 갈정도","음식이 맛있어요, 재료가 신선해요, 인테리어가 멋져요"
a2c0c2c8-bc42-40f1-b546-d256585e5090,신당 조갯집,"신당동에 조개찜집이 생기다니!!!!!!!!!
모임차 왔지만 개인적으로 매일 갈 예정입니다","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 친절해요, 매장이 청결해요"
842ce033-a3a0-46d1-9632-bc878fc622b9,신당 조갯집,"신당역 인근에서  조개구이집 찾기란 매우 어려웠는데  구성도 좋고 친절하고 맛있는 집  찾았습니다  
 담에 또 갈거야!!!! :>","음식이 맛있어요, 특별한 메뉴가 있어요"
169faf2f-e787-42d0-bfc8-ec3ebad5843f,신당 조갯집,새로 생긴 아름다운 조갯집입니다! 다들 친절하시고 재료도 신선하고 맛있어서 좋았어요. 자주 올게요!,"음식이 맛있어요, 재료가 신선해요, 친절해요, 매장이 청결해요"
6b01911f-5c09-40ea-9204-9ad02a97bc97,101번지남산돈까스,"유명하다는 남산돈까스 본점을 와봤습니다!
왜 유명한지 알것 같습니다! 치킨까스, 돈까스 둘다 모두 고기가 정말 맛있습니다. 유명한집은 이유가 있는듯 하네요
오늘은 웨이팅 없이 왔는데 웨이팅이 있어도 들어올것 같습니다~","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 매장이 넓어요"
25b17a69-e3ce-4502-ab6c-a1d39126dc42,101번지남산돈까스,"돈까스 소스 따로 옵션이 있어 좋아요!!
왕돈까스 13,500원 치즈돈까스 14,000원 남산쫄면 9,000원 매운소스츄가 1,000원!!!!
토요일 기준 웨이팅 20분정도???
주차는 남산타워에 했어요~~
딱 옛날 돈까스 맛👀
쫄면이 느끼함 잡아주니 시키세용~~
재방문 의사 65/100","매장이 넓어요, 양이 많아요"
fac322f6-4be5-467e-8b9d-f23d8a7c495c,101번지남산돈까스,"일년에 몇번씩 먹으러 오는데, 주변 돈가스 집이 많이 닫았네요. 
명동역에서부터 걸어올라오는 길도 산책하기 좋고 돈까스집에서 아이랑 같이 점심 먹기에도 좋은 코스입니다. 
양도 많고 스프도 마음껏 먹을 수 있고 맛도 좋습니다. 
매장도 청결해서 몇번이고 다시 올 의향 있습니다.","음식이 맛있어요, 양이 많아요, 아이와 가기 좋아요"
68e92e58-3f21-4c43-8f0b-706e2427f938,101번지남산돈까스,"남산와서 돈까스 먹으려는데 식당이 많아서 후기가 제일 좋은곳으로 방문했는데 성공적입니다.
치즈돈까스 왕돈까스 둘다 너무 맛있고 소스도 너무 맛있었어요~~
이집만의 특색있는 소스같았어요~! 맛있어서 재방문 예정입니다.","음식이 맛있어요, 양이 많아요, 매장이 넓어요, 인테리어가 멋져요, 매장이 청결해요"
fb9fc052-dd77-4a40-bea8-3eb640729bba,101번지남산돈까스,"가족들이랑 남산타워 갔다가 101번지 남산돈까스 남산본점에 방문했어요! 드라마 무빙에 나왔다고 해서 더더욱 찾았어요ㅎ 다들 고민하지말고 돈까스2개 쫄면, 우동 드세요!! 돈까스 소스 맛있구 스프 무한리필인데 엄청 맛나여ㅎㅎ 그리고 쫄면이랑 우동 면이 엄청 쫄깃해용ㅎㅎ 재방문 의사 있습니다!! 맛있는 한끼 감사합니다 ><","음식이 맛있어요, 양이 많아요, 향신료가 강하지 않아요, 친절해요, 뷰가 좋아요"
6370d047-c990-433f-b265-4b90ade411f3,101번지남산돈까스,남산하면 돈까스! 101번지 남산돈까스 남산본점이 원조라고 해서 찾아왔어요. 역시나 돈까스는 너무 바삭하고 맛있고 소스도 맛있어요!  크기도 큰데 이정도면 가성비 갑이네요 ㅎㅎ 넘 맛있습니다 ㅎㅎ 멀리 서울여행 와서 배불리 먹고 돌아갑니다 ㅎ,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 아늑해요"
82f38a25-0e49-423e-9686-2828959031cb,101번지남산돈까스,"101번지 남산돈까스 남산본점
첫방문!
원래 주차로 올라오다가 항상 그전에 잡혀서 다른 곳 갓는데 ㅋㅋㅋㅋㅋ 본점 첨왔어요!
주차 발렛해주시는 분이 너무 친절하시구요
감사했네요
주차가 없음 못올것같은데!
음식도 다른 동까스랑 달라요 본점 역시 👍","음식이 맛있어요, 재료가 신선해요, 주차하기 편해요"
40288f27-6fa7-4860-98d8-61daac571517,101번지남산돈까스,"지난번에 대기 많아서 못먹었눈데 
오늘은 조금대기하고 들어왔어요 
쫄면이랑 왕존까스 궁합이 짱이에요 
늘 맛있어요 
주차 아자씨또 아주 친절하셔요","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 가성비가 좋아요, 매장이 넓어요"
b88c3ee5-76c3-4963-9c4b-f02714015e69,101번지남산돈까스,"집근처에도 있지만 101번지 남산돈까스 남산본점에서 먹어보고 싶어서 방문했어요ㅎㅎ
남산타워 올라가기 전부터 와서
무빙왕왕돈까스 19900원, 쫄명 9000원 시켰는데 진짜 돈까스가 왕왕 크고 맛나서 오길 잘했다 싶어요!!","음식이 맛있어요, 양이 많아요, 특별한 메뉴가 있어요"
50f1f5dd-7fc6-4209-b495-3a0dd02d4108,101번지남산돈까스,서울여행와서 남산타워 보러왔눈데 ! 가기전 남산돈까스 먹으러왔어요☺️마늘돈까스라 느끼하지도 않고 촉촉바삭 맛있었어요~ 그리고 양이 엄청 많은듯 해요 배터질거같네요!!!! 맛나게 잘먹었습니당ㅎㅎ,"음식이 맛있어요, 양이 많아요"
3626d21c-fc00-4d94-ae77-f54d3495bdcf,101번지남산돈까스,"첫 방문인데, 너무 맛있어요 
왕돈까스 꼭 드세요!!! 
스프 추억의맛 생각나고 맛있어요😝 
셀프바 이용가능해서 리필 가능요!","친절해요, 음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요"
2fb9a09b-064b-4691-af37-9cf2d7fe55d9,101번지남산돈까스,남산에서 제일 유명한 101번지 남산돈가스 무빙에 나온 곳이라 방문해봤습니다 맛도 좋도 직원분들도 다 친절하셔서 맛있게 먹고 왔습니다,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 가성비가 좋아요"
1b856c71-6eb8-42da-8309-a5ecc1d0179a,101번지남산돈까스,"여러 돈까스 집이 있는데, 101번지 남산돈까스 남산본점에 줄이 길어서 여기로 들어왔습니다.

메뉴마다 양이 엄청 많고, 치즈까스를 비롯해, 신메뉴 치킨까스가 부드럽고 정말 맛있었습니다.

부모님과 식사장소로 추천합니다.","음식이 맛있어요, 재료가 신선해요, 양이 많아요, 특별한 메뉴가 있어요, 아늑해요"
8b3074f0-d781-44be-b7a6-336ac195921f,101번지남산돈까스,남산돈까스 기대많이 하고왔는데 웨이팅한 보람이 있네요ㅎㅎ 마감시간쯤 왔더니 면요리는 품절돼서 못 먹었지만 매운돈까스랑 왕돈까스 맛있게 먹고갑니당^^,"음식이 맛있어요, 재료가 신선해요, 양이 많아요, 매장이 넓어요, 친절해요"
53df3d6b-80e4-49c2-a5e2-3acbc62d5cc8,101번지남산돈까스,"매운돈까스, 왕돈까스, 치즈돈까스 삼인방 먹었어요. 뭐니해도 원조가 짱이네요. 다음에 먹을 땐 왕돈으로 먹을거같아요 근데 매운돈까스 소스랑 원조 돈까스 소스랑 섞어서 비율 맞춰 먹음 더 맛있어용!!!

다른 집들 원조라고 하는 곳들 많은데
여기는 찐 맛집이라 사람들이 알아보고 웨이팅하고 있길래 고민 없이 바로 들어옴,,,

넘 맛있게 먹고 갑니당🙆🏻‍♀️","음식이 맛있어요, 양이 많아요, 매장이 넓어요, 단체모임 하기 좋아요"
d26869b3-9cf4-4c3b-a4a6-66afb664e674,101번지남산돈까스,"아이들과 돈까스 먹으러 남산 자주오는데 101번지 남산돈까스는 처음 와봤는데 와~~ 왜 이제야 왔을까요
인테리어도 너무 깔끔하니 넓고 메뉴도 다양하고 제가 좋아하는  쫄면도^^
스프와 반찬도 리필이 되니 너무 좋아요~~
기본 돈까스 바삭함과 소스는 최고입니다!!!!
아이들이 선택한 함박스테이크도 너무 알차게 맛있게 나오네요 다음부터 무조건 여기로 옵니다~ 
처음 오는 곳이라 괜시리 실망하면 어쩔까했는데
너무 만족스럽게 먹고 가요 더더더 대박나세요^^","음식이 맛있어요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요, 인테리어가 멋져요, 친절해요"
0a241fa4-a6aa-4806-9188-d360c32e14d0,101번지남산돈까스,예약없이 바로 왔는데 대기줄이 있었지만 회전률이 빨라서인지 금방 들어갔습니다 ^^ 튀김도 바삭하고 치즈돈까스도 치즈가 쭈욱 늘어나면서 아이가 맛있게 다 먹었습니다! 일하시는 분들도 친절하시고 돈까스 먹다보면 질릴 수 있는데 고추도 있고 스프랑 깍두기 다양하게 있어서 배가 터지도록 먹고 왔네요~~^^ 다음에 또 방문해서 먹을 예정입니다.,"음식이 맛있어요, 재료가 신선해요, 건강한 맛이에요, 메뉴 구성이 알차요, 친절해요"
57bf2a0f-292d-441f-b8bd-69ba1fa6a4cf,101번지남산돈까스,"여행으로 남산타워 구경왔다가 맛집이라길래 왔습니다 ! 왕돈까스, 모듬까스, 쫄면 시켰구요 ! 메뉴가 좋았던게 소스를 부어서 받을지, 따로 받을지 나누어져 있어서 소스 부먹•찍먹 싸울일 없겠더라구요 ㅎㅎ 돈까스 뿐만아니라, 쫄면도 맛있고. 모듬에 나오는 생선까스랑 함박도 맛있어요 ^^ 이제 남산타워 오시면 돈까스는 101번지 남산돈까스로 오세요!!","음식이 맛있어요, 가성비가 좋아요, 매장이 넓어요"
f7527af9-c5ac-412b-b194-50b2967a1541,101번지남산돈까스,"음식이 전반적으로 맛이 있어요~~!! 
신선하고 맛도 있고~ 새우튀김도 신선한 기름에 튀기시나봐요~~ 고소하더라구요^^
재방문각입니다 👍👍","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 친절해요"
34b37f16-19fc-41af-9e8b-7aaa4d19a687,101번지남산돈까스,"돈까스 크기가 크고 바삭하니 맛있어요
생각보다 대기도 거의 없고
쫄면 돈까스 조합 추천드립니다
양이 많아서 돈까스 2개는 질릴수 있어요","음식이 맛있어요, 인테리어가 멋져요, 매장이 넓어요, 매장이 청결해요, 주차하기 편해요"
44171e8b-2328-4fdc-9c63-f46947001113,인천집,"김치가 상당해요… 
촉촉한 제육(수육)에 진짜 마싯는 김치….와우
갠적으로는 고려보쌈보다 마싯는것 같은데
여럿이서 가서 보쌈이랑 칼국수 나눠 먹으면
와하 여기가 극락~

조금 좁기도하고 넓고 깔끔함을 기대하기는 어렵지만
마싯어서 또 용서가 되는 곳이에요",음식이 맛있어요
680d9cc9-d31a-43ca-b7ed-450b496fdac9,인천집,"연말에 가족끼리 보쌈 먹자는 말에 오게된 인천집. 쌀쌀한 바람이 불어와서 마침 따뜻한 국물도 생각이 났습니다. 굴보쌈에 칼국수를 주문해서 먹으니 적당히 배부르고 좋았습니다. 고기는 식감이 쫄깃쫄깃하면서도 수분감이 있어 좋았고, 평소 굴보쌈에서 굴이 너무 차가우면 먹기 힘들었는데 겉절이랑 적당한 온도에 함께 먹을 수 있어서 좋았습니다. 칼국수는 바지락 칼국수를 주문하였고 국물이 정말 시원하고 따뜻하면서도 적당히 매콤한 향이 돌아서 중독성 있었습니다. 식사 후 다들 너무 맛있었다며 다음에 또 오자고 할만큼 만족스러웠습니다.","대화하기 좋아요, 음식이 맛있어요, 재료가 신선해요, 특별한 메뉴가 있어요, 메뉴 구성이 알차요"
60a32e5e-ab92-4dde-8344-dce259644e43,인천집,"2층에 식당이 작은데 근처 직장인들로 꽉 차 있었고, 한 30분 기다렸다가 들어갔어요.
굴이 싱싱하고 일반 보쌈김치랑은 좀 달랐어요. 간이 딱 맞고 맛있네요. 
칼국수 국물이 시원한데 굴보쌈에 비해 평범했어요.",음식이 맛있어요
77bbc77f-d9d5-4efa-8cd2-8614ac0c94c2,인천집,"제육보쌈 + 조개칼국수 먹었습니다! 🐖🍜

둘다 깔끔하고 맛있더라구요. 보쌈은 예상보다 양이 좀 적어서 당황했지만, 칼국수가 있어서 배가 고픈 정도는 아니었습니다. 😇

내부는 좁은 편이구요. 단체 손님 중에 소란스러운 팀이 하나 있으면 도떼기 시장 느낌이 좀 나기는 합니다. 근데 이런 노포의 매력이 또 왁자지껄함이니까 감수할 만 하다고 생각해요 📣

다음에는 굴 보쌈에 한 번 도전해봐야겠습니다! 🦪","친절해요, 음식이 빨리 나와요, 음식이 맛있어요, 건강한 맛이에요"
16729f0a-b9db-46a3-82a1-b476c0a4f712,인천집,"좁아서 좀 불편하지만 크게 문제없네요
수육 부드럽고 잡내 없어요  보쌈김치는 조금 아쉬웠어요~ 파전,  조개칼국수 
간단히 한잔 하기 좋았어요","음식이 맛있어요, 친절해요"
91f734d1-a07c-462d-a1f7-2c2cde45f22e,인천집,"조금 기다렸지만, 맛있게 먹었습니다. 역시 인기있는 맛집!! 아이가 있는걸 보시고 고추다대기는 빼고 따로 챙겨주셨어요.","음식이 맛있어요, 건강한 맛이에요"
631325b5-4146-49ce-8802-62b9bd4d9260,인천집,보쌈 조개칼국수 맛잇어요,"음식이 맛있어요, 재료가 신선해요"
124bf2f0-d55f-41da-be7d-8cd45c552937,인천집,"보쌈 도톰하니 너무 맛있어요!!! 
테이블이 너무 다닥다닥이고 좁은게 조금 흠이지만 음식이 맛있어서 또 가고싶은 곳입니다 ㅎㅎㅎ","음식이 맛있어요, 특별한 메뉴가 있어요"
